10.21.80.12@Центр Block_A@200
10.21.80.13@Центр Block_B@300
10.21.80.14@Центр Block_C@400
10.21.80.15@Центр Block_D@500
10.21.80.16@Центр Block_E@600
10.21.80.17@Центр Epicure@800
10.21.80.18@Центр Villas@0
10.21.80.11@Центр Chiller@1000
10.21.80.31@Центр VRV Mitsubishi@110
10.21.80.39@Бальнеология Chiller@4188474
10.21.80.34@Бальнеология BKAKM@2099234
10.21.80.33@Бальнеология BKAK@2099233
10.21.80.32@Бальнеология BKTP@2099232
10.21.80.35@Бальнеология BKVP@2099235
10.21.80.92@Батлеры Приточка п2@50
10.21.80.93@Батлеры Приточка П5@51
10.21.80.94@Батлеры Приточка П6@52
10.21.80.97@Батлеры ЩДЭ-1 ЭС@4016
10.21.80.98@Батлеры ЩДЭ-2 ЭС@4017
10.21.80.68@Батлеры Daikin GATEWAY@4026
10.21.80.58@Вилы Линия 3 ЩД-3.1@36388739
10.21.80.59@Вилы Линия 3 ЩД-3.2@3631602
10.21.80.60@Вилы Линия 3 ЩД-3.3@3641436
10.21.80.61@Вилы Линия 3 ЩУ-ИТП@30007
10.21.80.62@Вилы Линия 3 ШУП-4@30004
10.21.80.63@Вилы Линия 3 ЩУВ-5@30006
10.21.80.64@Вилы Линия 3 ЩУП-3@30003
10.21.80.65@Вилы Линия 3 ЩУП-5@30005
10.21.80.66@Вилы Линия 3 ЩУП-2@30002
10.21.80.67@Вилы Линия 3 ЩУП-1@30001
10.21.80.79@Вилы Линия 3 ЩУПВ-3-1@0
10.21.80.70@Вилы Линия 3 БКД-МЕ@0
10.21.80.71@Вилы Линия 3 ЩУН-1@30008
10.21.80.72@Вилы Линия 3 ЩУН-2@30009
10.21.80.73@Вилы Линия 3 ЩУН-3@30010
10.21.80.74@Вилы Линия 3 ЩУН-4@30011
10.21.80.75@Вилы Линия 3 ЩУН-11@30015
10.21.80.76@Вилы Линия 3 ЩУН-5@30012
10.21.80.77@Вилы Линия 3 ЩУН-6@30013
10.21.80.78@Вилы Линия 3 ЩУН-7@30014
10.21.80.134@Вилы Линия 3 ПВ6@0
10.21.80.90@РЧВ Винный парк@21
